,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
178,358384,2023-02-03,FOX,32.29999923706055,32.29999923706055,Fox Corporation (Class B),Communication Services,fox,https://app.outboundsales.io/api/logo/fox.com
179,359368,2023-02-03,FOXA,34.599998474121094,34.599998474121094,Fox Corporation (Class A),Communication Services,fox,https://app.outboundsales.io/api/logo/fox.com
180,361405,2023-02-03,FRC,144.5,144.5,First Republic Bank,Financials,first,https://app.outboundsales.io/api/logo/first.com
181,363442,2023-02-03,FRT,113.04000091552734,113.04000091552734,Federal Realty Investment Trust,Real Estate,federal,https://app.outboundsales.io/api/logo/federal.com
182,365479,2023-02-03,FTNT,53.0,53.0,Fortinet,Information Technology,fortinet,https://app.outboundsales.io/api/logo/fortinet.com
183,367138,2023-02-03,FTV,69.08000183105469,69.08000183105469,Fortive,Industrials,fortive,https://app.outboundsales.io/api/logo/fortive.com
184,369175,2023-02-03,GD,231.5399932861328,231.5399932861328,General Dynamics,Industrials,general,https://app.outboundsales.io/api/logo/general.com
185,371212,2023-02-03,GE,81.95999908447266,81.95999908447266,General Electric,Industrials,general,https://app.outboundsales.io/api/logo/general.com
186,373249,2023-02-03,GILD,84.5,84.5,Gilead Sciences,Health Care,gilead,https://app.outboundsales.io/api/logo/gilead.com
187,375286,2023-02-03,GIS,75.4800033569336,75.4800033569336,General Mills,Consumer Staples,general,https://app.outboundsales.io/api/logo/general.com
188,377323,2023-02-03,GL,120.16000366210938,120.16000366210938,Globe Life,Financials,globe,https://app.outboundsales.io/api/logo/globe.com
189,379360,2023-02-03,GLW,35.7400016784668,35.7400016784668,Corning,Information Technology,corning,https://app.outboundsales.io/api/logo/corning.com
190,381397,2023-02-03,GM,41.130001068115234,41.130001068115234,General Motors,Consumer Discretionary,general,https://app.outboundsales.io/api/logo/general.com
191,383434,2023-02-03,GNRC,122.44000244140624,122.44000244140624,Generac Holdings,Industrials,generac,https://app.outboundsales.io/api/logo/generac.com
192,385471,2023-02-03,GOOG,105.22000122070312,105.22000122070312,Alphabet (Class C),Communication Services,alphabet,https://app.outboundsales.io/api/logo/alphabet.com
193,387508,2023-02-03,GOOGL,104.77999877929688,104.77999877929688,Alphabet (Class A),Communication Services,alphabet,https://app.outboundsales.io/api/logo/alphabet.com
194,389545,2023-02-03,GPC,168.2899932861328,168.2899932861328,Genuine Parts,Consumer Discretionary,genuine,https://app.outboundsales.io/api/logo/genuine.com
195,391582,2023-02-03,GPN,113.05999755859376,113.05999755859376,Global Payments,Information Technology,global,https://app.outboundsales.io/api/logo/global.com
196,393619,2023-02-03,GRMN,101.54000091552734,101.54000091552734,Garmin,Consumer Discretionary,garmin,https://app.outboundsales.io/api/logo/garmin.com
197,395656,2023-02-03,GS,369.9500122070313,369.9500122070313,Goldman Sachs,Financials,goldman,https://app.outboundsales.io/api/logo/goldman.com
198,397693,2023-02-03,GWW,675.8099975585938,675.8099975585938,W. W. Grainger,Industrials,w.,https://app.outboundsales.io/api/logo/w.com
199,399730,2023-02-03,HAL,38.56999969482422,38.56999969482422,Halliburton,Energy,halliburton,https://app.outboundsales.io/api/logo/halliburton.com
200,401767,2023-02-03,HAS,61.72999954223633,61.72999954223633,Hasbro,Consumer Discretionary,hasbro,https://app.outboundsales.io/api/logo/hasbro.com
201,403804,2023-02-03,HBAN,15.449999809265137,15.449999809265137,Huntington Bancshares,Financials,huntington,https://app.outboundsales.io/api/logo/huntington.com
202,405841,2023-02-03,HCA,258.0799865722656,258.0799865722656,HCA Healthcare,Health Care,hca,https://app.outboundsales.io/api/logo/hca.com
203,407878,2023-02-03,HD,331.5,331.5,Home Depot,Consumer Discretionary,home,https://app.outboundsales.io/api/logo/home.com
204,409915,2023-02-03,HES,137.57000732421875,137.57000732421875,Hess Corporation,Energy,hess,https://app.outboundsales.io/api/logo/hess.com
205,411952,2023-02-03,HIG,74.7699966430664,74.7699966430664,The Hartford,Financials,the,https://app.outboundsales.io/api/logo/the.com
206,413989,2023-02-03,HII,216.97000122070312,216.97000122070312,Huntington Ingalls Industries,Industrials,huntington,https://app.outboundsales.io/api/logo/huntington.com
