,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector
460178,460178,2023-02-03,IQV,237.17999267578125,237.17999267578125,IQVIA,Health Care
461621,461621,2023-02-03,IR,57.11000061035156,57.11000061035156,Ingersoll Rand,Industrials
463658,463658,2023-02-03,IRM,55.52999877929688,55.52999877929688,Iron Mountain,Real Estate
465695,465695,2023-02-03,ISRG,254.67999267578125,254.67999267578125,Intuitive Surgical,Health Care
467732,467732,2023-02-03,IT,341.95001220703125,341.95001220703125,Gartner,Information Technology
469769,469769,2023-02-03,ITW,246.72999572753903,246.72999572753903,Illinois Tool Works,Industrials
471806,471806,2023-02-03,IVZ,20.040000915527344,20.040000915527344,Invesco,Financials
473843,473843,2023-02-03,J,125.5500030517578,125.5500030517578,Jacobs Engineering Group,Industrials
475880,475880,2023-02-03,JBHT,197.88999938964844,197.88999938964844,J. B. Hunt,Industrials
477917,477917,2023-02-03,JCI,65.72000122070312,65.72000122070312,Johnson Controls,Industrials
479954,479954,2023-02-03,JKHY,180.6999969482422,180.6999969482422,Jack Henry & Associates,Information Technology
481991,481991,2023-02-03,JNJ,164.61000061035156,164.61000061035156,Johnson & Johnson,Health Care
484028,484028,2023-02-03,JNPR,30.729999542236328,30.729999542236328,Juniper Networks,Information Technology
486065,486065,2023-02-03,JPM,141.08999633789062,141.08999633789062,JPMorgan Chase,Financials
488102,488102,2023-02-03,K,67.61000061035156,67.61000061035156,Kellogg's,Consumer Staples
490139,490139,2023-02-03,KEY,20.020000457763672,20.020000457763672,KeyCorp,Financials
492176,492176,2023-02-03,KEYS,181.3999938964844,181.3999938964844,Keysight Technologies,Information Technology
494087,494087,2023-02-03,KHC,39.380001068115234,39.380001068115234,Kraft Heinz,Consumer Staples
496124,496124,2023-02-03,KIM,22.530000686645508,22.530000686645508,Kimco Realty,Real Estate
498161,498161,2023-02-03,KLAC,408.2699890136719,408.2699890136719,KLA Corporation,Information Technology
500198,500198,2023-02-03,KMB,131.25999450683594,131.25999450683594,Kimberly-Clark,Consumer Staples
502235,502235,2023-02-03,KMI,18.280000686645508,18.280000686645508,Kinder Morgan,Energy
504272,504272,2023-02-03,KMX,78.19000244140625,78.19000244140625,CarMax,Consumer Discretionary
506309,506309,2023-02-03,KO,59.83000183105469,59.83000183105469,Coca-Cola Company,Consumer Staples
508346,508346,2023-02-03,KR,44.41999816894531,44.41999816894531,Kroger,Consumer Staples
510383,510383,2023-02-03,L,60.09999847412109,60.09999847412109,Loews Corporation,Financials
512420,512420,2023-02-03,LDOS,98.05999755859376,98.05999755859376,Leidos,Industrials
514457,514457,2023-02-03,LEN,104.80999755859376,104.80999755859376,Lennar,Consumer Discretionary
516494,516494,2023-02-03,LH,249.33999633789065,249.33999633789065,LabCorp,Health Care
518531,518531,2023-02-03,LHX,210.9499969482422,210.9499969482422,L3Harris Technologies,Industrials
520568,520568,2023-02-03,LIN,323.6000061035156,323.6000061035156,Linde,Materials
522605,522605,2023-02-03,LKQ,57.47999954223633,57.47999954223633,LKQ Corporation,Consumer Discretionary
524642,524642,2023-02-03,LLY,339.0799865722656,339.0799865722656,Eli Lilly & Co,Health Care
526679,526679,2023-02-03,LMT,459.0799865722656,459.0799865722656,Lockheed Martin,Industrials
528716,528716,2023-02-03,LNC,35.27000045776367,35.27000045776367,Lincoln National,Financials
530753,530753,2023-02-03,LNT,53.34000015258789,53.34000015258789,Alliant Energy,Utilities
